What kind of place would you like Casey to be in 2041?,If you had the power to change just one thing in the City of Casey what would it be?,What three words would you use to describe your Vision for the City of Casey?,,,What's most important to you?,Other,What is your suburb?,Postcode,Ward,What is your age?,What is your Gender
"Safe, friendly,",Easier to get information about what's going on in the area,Family-oriented,shops,schools,,All,beaconsfield,3807,edrington,39-48,Female
"Progressive and moving forward, innovative 
Family friendly
Business opportunities
Good local transport",Activities for kids to prevent boredom,family-oriented,environment,education,Connecting and supporting people,,cockatoo,,visitor,49-58,Female
"Keep its charm, green, parks, open space",Cost of rates,Harmonious,safe,spaces,Creating a sense of place,,berwick,3806,edrington,49-58,Female
"Happy one, no fighting in the council","Local paper delivered, what's going on. ",facilities,happy,safe,Connecting and supporting people,,berwick,3806,edrington,68+,Female
"Vibrant, go out & be safe.tolerant, understanding, diverse",Better public transport,Tolerant,safe,understanding,Protecting our environment and improving transport,,narre warren south,3804,springfield,39-48,Male
A good place to live still,Nothing,Safe,affordable,fair,,All,narre warren,3805,springfield,49-58,Male
"Safe, vibrant, fun",Traffic,Safe,transport,green,Protecting our environment and improving transport,,narre warren,3805,springfield,39-48,Male
Community based - a focus on community,Change the Monash -extend and widen,Proactive,community,safe,Connecting and supporting people,,narre warren,3805,springfield,39-48,Female
Busy ,Less crime,Less-crowded,cosmopolitan,family-orientated,Attracting local business and jobs,,berwick,3806,edrington,59-68,Female
"Secure, council look after residents, no cars on naturestrips",Stopping cars parking on naturestrips,quiet,secure,clean,,Public transport and roads,clyde north,,edrington,59-68,Male
"Village atmosphere, open space",Happy now,Friendly,people,lively,Protecting our environment and improving transport,,berwick,3806,edrington,68+,Female
"More open green space and dog friendly parks
Curb development, keep it country like
More outdoor cafes and interesting places to dine",Traffic congestion especially around school times eliminated with better planning,Open-space,facilities,friendly,Creating a sense of place,,beaconsfield,3807,edrington,68+,Female
"Crime free, good infrastructure, hospitals, transport",More control over migrants,Safe,friendly,well-serviced,Protecting our environment and improving transport,,beaconsfield,3807,edrington,59-68,Female
Good future and environment,Better transport,Services,low-development,city/country,Protecting our environment and improving transport,,berwick,3806,edrington,39-48,Male
"Working well, expanding, places to go",Streettrees management of,Planned,,,Creating a sense of place,,narre warren south,3804,springfield,68+,Male
"Safe, less high density housing, spacious , bigger blocks  ",Heirarchy of government ,facilities,residents,safe,Connecting and supporting people,,berwick,3806,edrington,39-48,Male
"Nothing over eight storeys, lots of jobs and manufacturing. WBPB, nothing higher than lookout there ","Improved roads and transport, pound road ",Jobs,youth,,Attracting local business and jobs,,berwick,3806,edrington,49-58,Male
"Be safer for families, too much chaos now. More  police patroling",House prices more affordable,community,clean,family-oriented,Attracting local business and jobs,,beaconsfield,3807,edrington,29-38,Female
Relaxed safe place to live,"Violence and car theft, less crime",facilities,safe,,Protecting our environment and improving transport,,narre warren,3805,springfield,49-58,Female
Multicultural hub. Focus on sustainable living.,Higher subsidies for renewable energy.,Modern,sustainable,countryside,Protecting our environment and improving transport,,narre warren north,3804,four oaks,29-38,Male
"Still here, safe, safe for kids on bike","Congestion, bottlenecks",Safe,community,vibrant,,All,pakenham,,visitor,29-38,Male
Current,Rates valuations,Family-oriented,environment,safe,Connecting and supporting people,,narre warren,3805,springfield,39-48,Female
"Safe for families, critical shortage of police
Roads and care to cyclists needs to mprove",Flow of traffic improvements,People,diverse-housing,environment,Connecting and supporting people,,clyde north,,edrington,39-48,Male
"Safe, community minded, friendly, recognise Australian values such as  kindness, looking out for each other.  I would also like to see more public transport, bike and walking paths, parks and gardens",Improve interracial. Relationships,Friendly,community,healthy,Connecting and supporting people,,beaconsfield,3807,edrington,39-48,Female
"Less crime, better schools and roads, less shopping centres",Change the rates to be cheaper,Safe,secure,peace,Attracting local business and jobs,,narre warren,3805,springfield,49-58,Male
"Safe, crime free",More police,Safe,less-congestion,roads,Protecting our environment and improving transport,,berwick,3806,edrington,59-68,Female
"Safer, preserve the parks, be able to access shopping close to where I live",Make it safe,cafes,attractive,friendly,Connecting and supporting people,,narre warren,3805,springfield,19-28,Female
"Lots of great parks, sporting facilities, outdoor infrastructure important
Keep markets and places for families to access",Change zoning for property prices,parks,small-town-feel,roads,Attracting local business and jobs,,cranbourne north,,mayfield,19-28,Male
Family friendly,More street lighting ,Dynamic,family-oriented,facilities,Protecting our environment and improving transport,,Springvale ,,visitor,59-68,Female
Family friendly and diverse,The lack of security and appropriate public transport ,Innovative,Diverse,Safe,Connecting and supporting people,,clyde north,,edrington,29-38,Female
Berwick is not ignored. Better planning,Keep pace with population growth,roads,planning,growth,,All,berwick,3806,edrington,59-68,Female
"Retain the way it has been as much as possible, rural and foothills protected","Communication between residents and decision makers, councillors and council officers - relationships are important, teamwork",Communicative,appreciation,wellbeing,Connecting and supporting people,,narre warren north,3804,four oaks,68+,Male
"Safe, friendly",Quality of services for our rates,Secure,safe,community,,All,Springvale,,visitor,68+,Female
"Well prepared for aged population, good hospitals and facilities for health , good education options more public","Parking, no concept , traffic management overall, b
City of casey manage events well but others don't, lighting as well",Respectful,engaged,informed,,"All, also want to speak to people not machine",berwick,3806,edrington,59-68,Female
"Having open spaces, great places to walk, dog friendly spaces esp leash free, preserve Berwick Main Street heritage and
 keep its character","Parking areas should be provided by the businesses making more parking available
More care for the aged and disabled, currently pathways for the financially vulnerable",Nice-people,lovely,safe,Connecting and supporting people,,berwick,3806,edrington,68+,Female
"Stay as it is
Quiet and friendly
Good place for families",Get the smoking area near playground out,education,peaceful,local-produce.,Protecting our environment and improving transport,,berwick,3806,edrington,29-38,Male
Maintaining a healthy environment,Na,Welcoming,safe,planned,,All,berwick,3806,edrington,0-18,Female
"Safe, traffic managment strong infristructure",Get rid of bunyip place and put lake back positioning is not right,Safe,community,family-orientated,,All,narre warren,3805,springfield,59-68,Female
More transport easier to move around. More support for elderly,"New council building, no parking. Why there?",uncontested,public-transport,,Attracting local business and jobs,,berwick,3806,edrington,49-58,Female
"More progressive, sports and for children more aged facilities, improved public transport",Bus stop KangaNews drive,Progressive,safe,picturesque,,All,berwick,3806,edrington,68+,Female
"Good traffic management down main street, good sporting facilities, continuing good aged care, infrastructure for growing new areas, parking an issue",Main Street bottleneck in Berwick improved upon,,village,sporting-facilities,Protecting our environment and improving transport,,officer,3809,visitor,59-68,Male
Good value services for our rates,Rates,Fair,services,,Connecting and supporting people,,berwick,3806,edrington,68+,Female
"Free health good schooling especially public, ","Speed humps, turning local roads into race tracks",Green,active,family-orientated,,All,narre warren,3805,springfield,59-68,Male
Fun lots of social areas restaurants,Nothing,Fun,vibrant,safe,Creating a sense of place,,narre warren south,3804,springfield,19-28,Male
"Safe place, no more people",Fix packenham bypass,Sustainable,safe,uncongested,Protecting our environment and improving transport,,pakenham,,visitor,29-38,Male
"Diverse, progressive good infrastructure , strong community friendly",Improved transport roads and public transport,Friendly,diverse,respectful,,All,clyde north,,edrington,68+,Female
"Understand population growth and the infrastructure needed, Monash freeway widening and roads for growth
Expansion of shopping areas so not all people congregate in fountain gate    
Parking is an issue there",Accessibility to all people,Liveability,opportunities,accessibility,Attracting local business and jobs,,berwick,3806,edrington,29-38,Female
"More arts, more infrastructure for the growth, more corner shops and boutique family shops, more things for young people ( events for youth and hang out, stages for local bands)",Thompson rd round about needs lights,things-to-do,family-oriented,Green-spaces,Attracting local business and jobs,,narre warren,3805,springfield,19-28,Female
Being safe,Traffic,Well-planned,safe,,,All,berwick,3806,edrington,39-48,Female
"Green parklands botanical gardens, active places, entertainment places",Population too much growth,Harmonious,family-orientated,community,,All,warragul,,visitor,39-48,Female
Nature green park areas for children. Underground parking with any new building,Maintain historic buildings,Heritage,sustainability,services,,All,frankston ,,visitor,59-68,Female
"Open spaces, parklands, natural env",More cultural things to do & more arts. Spread out too much. Has a shopping centre culture,Boutique,heritage,,Creating a sense of place,,visitor,,visitor,39-48,Female
Civilised,One car per house,civilised,,,,Stay civilised,berwick,3806,edrington,68+,Male
"Need better service and staff for casey hospital, parking facilities, more training for young people in apprentiships and better education",Roads are in poor condition,parks,markets,family-businesses,Connecting and supporting people,,gembrook,,visitor,29-38,Male
"Sustainable, infrastructure keeps up with population growth",Make sure developers pay for infrastructure & not just walk away with profits,Sustainable,services,,,All,berwick,3806,edrington,68+,Male
No problem if it continues as is,Roads,Safe,friendly,clean,,All,narre warren,3805,springfield,49-58,Male
"Appropriate infrastructure especially schools parking
Security and safety
More open dicussions for community to input into decisions
Stop anti social behaviour, laws need to change to help keep community safe and happy to live in area
Educate people about the societal guidelines are",Safety,services,diversity,acceptance,,All,berwick,3806,edrington,49-58,Male
Somewhere that is safe and has a lot of different things to do.,Transport,Modern,Fun,Safe,Protecting our environment and improving transport,,berwick,3806,edrington,19-28,Male
"A place which still retains some of its existing charm and character without it feeling like it's dense and too overpopulated. A place where you WANT to be; a place that's got life, and there's lots of great experiences on offer.",Traffic congestion. Road infrastructure has not kept up with how many people have moved in. ,Homely,cohesive,uncrowded,Attracting local business and jobs,,berwick,3806,edrington,29-38,Female
"Family friendly, with larger blocks, community feel and close access to a range of great facilities","Our roads keeping pace with our residential growth, particularly improve capacity of Berwick Clyde and Narre-Cran Road, and Monash Freeway",Vibrant,safe,community,Connecting and supporting people,,clyde north,,edrington,19-28,Female
A plaace where families can live safely and in harmony .,Drastically reduce the number of housing developments,caring,inclusive,achievable,Connecting and supporting people,,narre warren south,3804,springfield,59-68,Male
"sustainable, local markets, safe, parks, good traffic, schools, community, sense of place",Monash Berwick campus doesn't shut down,sustainable,safe,healthy,Protecting our environment and improving transport,,berwick,3806,edrington,19-28,Female
A crime free environment which is free from all poverty.,"I would change how the public transport system works, to make it easier to understand and more comfortable to ride on than what it is like now.",Fun,Friendly,Fantastic,Connecting and supporting people,,narre warren north,3804,four oaks,0-18,Male
Split in go manageable size councils,"Bigger blocks, less homes to the acres",Too-big,,,,Roads and transport,cranbourne east,3977,mayfield,39-48,Male
A place my children and their future children can be proud of.,The over population and congested roads. ,Environment,Safe,,,Not overpopulating the district ,berwick,3806,edrington,29-38,Female
All inclusive ,More accessible buses (more space for wheelchairs),inclusive,accepting,accessible,Connecting and supporting people,,narre warren,3805,springfield,19-28,Female
"I'd like Casey to be a regional work hub, where more companies that would otherwise be setting up in the CBD would do so here. I'd also like to see it be more of a cultural centre.","Better transport networks - improved roads, rail & bus services.",Cultural,Business,recreation,Attracting local business and jobs,,lyndhurst,3975,mayfield,49-58,Male
"A safe, clean and happy place to live in. A place where I can work, and my children gain a great education.",Better secondary education in the Lynbrook area,Hopeful,optimistic,grand,,Secondary Education,lynbrook,3975,river gum,39-48,Male
"Less crime. More cautious at the moment. Getting rid of the tips - no longer adding more rubbish.

Would like to have a local secondary school. 

Having more parking for the schools and the train station - currently competing for the same car park.","Improve the crime- have cctv everywhere.  It will catch the criminals. 

Need more facilities for disability I.e. A sensory garden, out door and indoor.",Family-oriented,safe,clean,,Facilities for people with disabilities ,lynbrook,3975,river gum,39-48,Female
"Like it how it is
Crime rate to decrease, more police presence
Need reduce graffiti in parks
Keeping the country feel and monitor industrial development",Having the parks safer for families and have more bbq areas and sit down to picnic together. Toilet facilities,Clean,community,spacious,,Protect. Environment and improving community ,cranbourne ,3977,balla balla,19-28,Female
"More secondary colleges, education options.  Better public transport",More parks and trees,Good,improving,growing,Protecting our environment and improving transport,,lynbrook,3975,river gum,29-38,Female
Safe,Crime at the moment,Multicultural,developing,,Creating a sense of place,,hampton park,3976,river gum,29-38,Female
To have more Education facilities,Transport updated and improved,roads,community,,Creating a sense of place,,cranbourne ,3977,balla balla,39-48,Male
"No crime, no apex, no council, no religious or Muslim, no mosques, would like to see it as Australian, rates reduced, council to be more resposible",Get rid of council,Affordable,vibrant,safe,,"A, C and D",koo wee rup,,visitor,49-58,Female
More australian,More Australian,Australian,parks,,Protecting our environment and improving transport,,lynbrook,3975,river gum,29-38,Female
"Retain its natural surroundings, provide good education on all levels incl secondary school here in lynbrook, more shopping, good public transport with train","Good secondary school in this area it
F not we will need to move",parks,family-oriented,events,Connecting and supporting people,,lynbrook,3975,river gum,29-38,Female
"More amenities, road safety for kids, fitness facilites in local parks, fitter casey with more outdoor options for fitness","Lower crime rate, better policing ",Aware,acceptance,special-needs,Attracting local business and jobs,,cranbourne east,3977,mayfield,29-38,Female
"Family oritated
More parks, sport equip, ","Hours open long for youth councillors .
Transition counciling 
More support
Open forums to raise awareness, learn some tools to help youth. .. Something to make them come. 
Youth hub, pool, coffee, games. Safe hub but cool",Supportive,Creative,Approachable,Connecting and supporting people,,cranbourne north,,mayfield,39-48,Female
"Issues with being hassled by the council about dog registration. 

People are dumping rubbish on Evans street Lynbrook behind the rubbish. Every night 2-3 o clock I'm the morning. 

Improving the roads- the side off the roads are not clean and have lots of potholes. The foot paths are also not good. They are really rough. Have to check the footpaths regularly. 


I ride my bike everywhere, but sides of the road are not clean and lots of gravels. They need to open Evans road right through.... 

Need to put concrete light poles because the wood poles rot. 

Everything is being done temporarily, not long term planning. 
",Improve traffic - have more bicycle lanes on side of the road. And crossings for bikes across the traffic. ,,,,Protecting our environment and improving transport,,lynbrook,3975,river gum,49-58,Male
No more rubbish dumping too smelly,Make it cleaner,Clean,parks,,Protecting our environment and improving transport,,lynbrook,3975,river gum,59-68,Male
"Bigger with more schools, facilities, more transport, grow roads, kid activities for school kids of ages, better public schools, strong youth support. Clean and safe spaces for all ages",More focus and support towards homeless,Safe,Supportive,People,Connecting and supporting people,,lyndhurst,3975,mayfield,29-38,Female
"More high schools, more parks, more retail",Open up Evans road,Family,health,community,Protecting our environment and improving transport,,lynbrook,3975,river gum,29-38,Female
"More services like banks, shopping centres other than food shops,  better connected roads",Speeding stopped,Safe,community,active,Connecting and supporting people,,lynbrook,3975,river gum,29-38,Female
"Busier, fuller, more opportunities, more places and things to do. 
Better transport and easy","Connection, know your neighbours. More activities to bring people together",Brighter,Family-oriented,Convenient,Connecting and supporting people,,lynbrook,3975,river gum,29-38,Female
"Have a high school otherwise we will have to leave.

Activities for the teenagers- more places to do active things.",Having a high school. ,Welcoming,friendly,beautiful,Connecting and supporting people,,lynbrook,3975,river gum,29-38,Female
"Youth activities, variety of programs, transport, schools, ",Hard rubbish collection,Community,Multicultural,Creative,Protecting our environment and improving transport,,lynbrook,3975,river gum,39-48,Female
"Good schools. Hindi should be offered as a second language in schools. 
 There should be translation services in schools. 

Swimming schools for kids nearby.",It's good,Clean,multicultural,,Protecting our environment and improving transport,,lynbrook,3975,river gum,29-38,Female
"Not a lot of activities for under 3 year olds. Either have to pay or travel far. 
Evans road to be open 
Not being to recycle plastic bags unless at a supermarket makes people lazy
No bus to Lyndhurst so not accessible","Services for under 3 years

A tip site has horrible smell",Family-oriented,services,playground,,All,lynbrook,3975,river gum,29-38,Female
"Theatre, creative, interactive things out and about. Get up off your bum stuff. New technology. Better roads. Underground services. Better transport. ",Wider roads,Fun,Inspiring,Creative,Connecting and supporting people,,hastings,,visitor,39-48,Female
"Family friendly, parks, playgroups, safe",Litter gone,Safe,family-oriented,clean,Creating a sense of place,,lyndhurst,3975,mayfield,29-38,Female
"More security, less crime.  More support for families dealing with mental healt and support services.",Crime,Transport,,,Protecting our environment and improving transport,,cranbourne north,,mayfield,39-48,Female
A good place.. Better transport. Less shopping centres. More family activities. More culturally diverse. ,How much my rates are,Education,Better-roads,support,Connecting and supporting people,,cranbourne north,,Springfield,29-38,Female
"Family orientated, lots parks, open space",Improve roads,Outdoors,family,lifestyle,Connecting and supporting people,,lynbrook,3975,river gum,29-38,Female
"Road access at lynbrook at
Station is not present so need to travel an extra distance to get there
Council rates too high
Parks are great here
Housing affordability is getting harder for young people",Level road crossing at lynbrook station,clean,friendly,safe,Connecting and supporting people,,lynbrook,3975,river gum,19-28,Female
"Safe, crime free",Crime,Safe,shopping,,Connecting and supporting people,,hampton park,3976,river gum,49-58,Female
"Safe, family friendlt",Crime rate,safe,,,Connecting and supporting people,,lynbrook,3975,river gum,29-38,Female
"Safe and clean, less spending by council on unnecessary buildings",Improve transport,Playgrounds,suburbs,,Creating a sense of place,,cranbourne north,,Springfield,49-58,Female
"Creative
Safe
Better schools",More events,Fun,Safe,Creative,Creating a sense of place,,frankston ,,visitor,29-38,Female
"Child friendly, more things locally for youth",Local skate park in Lynbrook,Drug-free,safe,,Connecting and supporting people,,lynbrook,3975,river gum,29-38,Female
"Community centres should be for residents not just government. Why can we not hire the centre for events I.e. Families to hold graduation ceremonies. 


The city of casey is good and very proactive. They respond to requests. ","I love the city of casey it is very good suburb. 

Trains- always delays especially in the morning. Shouldn't fine straight away with no myki's but train always late

Connect Evans road so you can drive the whole. ",Muliticutural,,,Attracting local business and jobs,,lynbrook,3975,river gum,39-48,Female
"Need to remove big trucks from small street. This was a promise at the election we need to do it. 

Remove the Lynbrook tips, the smell is impossible. 


Important to have areas for kids to play that is safe from traffic. The new developments have no room for kids to play, no parks etc

Why can't I pay my rates at the community centres?","Having more banking facilities. 

Must remove the big trucks off the big trucks ",Clean,,,,Making casey safe,lynbrook,3975,river gum,68+,Male
More home and child friendly. More to do and be active. ,More affordable ,Progressive,Colourful,Positive,Connecting and supporting people,,furntree gully,,visitor,39-48,Female
"Bayton crescent worst street in Lynbrook. Can't have anyone park in the street because of the cars parking for the station. Station spill over. Why did they only build 50 car parks. 

The community centre is great. The Lynbrook suburb has grown well. 

Need to be more clever about parking around the station and schools. 

Maybe once Evans road is opened up people will go to other stations with more parking. 

People need to be more respectful 
About not dropping rubbish. 

Lynbrook is a great walkable suburb. 


Don't feel safe walking at night. 


Lots of nice restaurants in Lynbrook. 

Bus service is very good from Lynbrook to fountain gate. ",More parking for the station in Lynbrook. ,Restaurants,walkable,safe,Protecting our environment and improving transport,,lynbrook,3975,river gum,68+,Female
"Best place to work ,live in and retire.","Need more wide, clean and green roads.",Multicultural,,,Protecting our environment and improving transport,,endeavour hills,3802,four oaks,39-48,Male
One with proper roads and infastructure. Currently what we have is not adequate. ,Roads. I want to council to start listening to its residents and fix the roads,Growth.,Infrastructure.,Community,Connecting and supporting people,,lyndhurst,3975,mayfield,29-38,Female
inclusive creative and safe,safe space for cultural to explore and create,community,,,Protecting our environment and improving transport,,,3199,Visitor,49-58,Female
"A safe, inclusive, well serviced and progressive community.","The feeling of safety of our citizens. With the recent, well-publicized, issues; it leaves people feeling unsafe in our own area.",Forward-thinking,Safe,Diverse,Connecting and supporting people,,berwick,3806,edrington,19-28,Male
"Crime free, Plenty of public transport and leisure areas",stop the new building permits,practical,,,Attracting local business and jobs,,cranbourne east,3977,mayfield,39-48,Male
Model suburb for families with access to amenities,Road/rail infrastructure - access to CBD,Safe,family-oriented,multicultural,Protecting our environment and improving transport,,cranbourne north,,Springfield,29-38,Male
"I probably wont be here to enjoy it, but my wish for Casey that it becomes a friendly, caring, healthy,fully employed community.", More meaningful outdoor activities for all age groups,Hope,health,happiness,Connecting and supporting people,,berwick,3806,edrington,68+,Female
A place with green spaces and infrastructures in place before residents move in,Better recognition of the rural areas in the City of Casey,Thoughtful,accessible,green,Attracting local business and jobs,,clyde,3978,balla balla,59-68,Female
Green friendly place with plenty of walking and bike paths,More pavements,Modern,safe,unpolluted,Protecting our environment and improving transport,,narre warren,3805,springfield,49-58,Male
"A major hub with both corporate and manufacturing facilities, lots of Green space / parks & FORESTS",Create a high speed rail link between the Melbourne CBD and Casey (say Fountain Gate Shopping centre),Virbrant.,Australian.,Trendy.,Attracting local business and jobs,,lynbrook,3975,river gum,49-58,Male
A place with a set of foot traffic lights at the Hunt Club entrance and dual lanes on Cranbourne Narre-Warren Rd from Thomsons down to the Sladen St.,Add foot traffic lights at the Hunt Club entrance and dual lanes on Cranbourne Narre-Warren Rd from Thomsons down to the Sladen St.,Dual,lanes,lights,,Dual lanes and foot traffic lights ,cranbourne east,3977,mayfield,29-38,Male
"Safe, roads and streets to be well maintained, more footpaths it's eg O'shea rd Berwick has a footpath that ends then people have to cross the road dodging busy traffic. Same along Chisolm on Clyde rd Berwick the path ends. More job network facilities in the area not just ones that cater for the disabled but ones that offer advice with job search for our youth. ","The parks in our area are very dated eg the major park along Streeton Way has very ordinary facilities. I've been using it for seven years and think it needs a complete overhaul. Same as the one in the Kingsmere estate. They could do with facilities such as a large rope climbing frame for older children, better flying foxes (such as the one in Berwick waters estate off Grices rd) and better slides. ",courtesy,clean,safe,Connecting and supporting people,,berwick,3806,edrington,29-38,Female
"Vibrant, energetic and creative.  Entertainment, leisure, employment and activity hub",Better roads,Creative,Integrated,Exciting,Attracting local business and jobs,,narre warren,3805,springfield,49-58,Male
"Exciting, energetic, connected",More employment opportunities,Creative,Relaxed,Self-contained,Attracting local business and jobs,,narre warren,3805,springfield,49-58,
"I would like Casey to be a safe and productive where technology is common rather than a struggle. 
However, in the last 3 years Casey is nothing of this type. Most people are scared in their homes because they don't know when someone they do not know will enter even if they don't wish them to. Further, since we've lived here - over 15 years now - our internet connection has only gotten worse and not better. Then when we thought we were going to be joining at least the 21st century with our connection, we have now gotten shuffled off the list and we're stuck with an internet connection which you can barely use and forget any kind of streaming service. In order to be a productive and technology updated area, Casey (Springvale ward) isn't even able to cope in 2016, so I doubt by 2041 things will change. ","This is a hard question to answer as there is so much in Casey that needs to be looked at - traffic congestion, employment, computer connections, safety, and a council and MP who cares for the entire area and not just areas where they are worried about not getting votes. 
According to the overall question, if I had to pick just one area I am the most concerned with it would be how the current council and state MP centre on areas where they do not think they will not get votes to get back into office. Further, to hold as many closed door meetings as this council does, according to the minutes of the council that I have been reading, each session has a lengthy section of time during each meeting which is closed and away from the public. To me, as a ratepayer, I feel that we should not have things that are hidden away like dirty laundry. It should be a transparent council where the public and people who pay your wages know what is going on instead of getting closed meetings.",Safe,productive,local-growth,Attracting local business and jobs,,narre warren south,3804,springfield,39-48,Female
"Safe.
Plenty of employment opportunities.
Clean",More street lighting.,Safe,Community,Clean,Protecting our environment and improving transport,,narre warren,3805,springfield,39-48,Female
A safe and clean place to live in,More activity  in the area that are free on a week day not so much on school hoildays ,Nice,clean,happy,Protecting our environment and improving transport,,berwick,3806,edrington,29-38,Female
Liveable,Transport,Green,smart,local,Connecting and supporting people,,knox,,visitor,49-58,Male
Well planned and thought out,Train extension to Clyde,Open,green,clean,Protecting our environment and improving transport,,berwick,3806,edrington,29-38,Male
Inclusive,Voice to the little people,Collaborative,strategic,inclusive,Creating a sense of place,,visitor,,visitor,49-58,Male
Inclusive community with open space and better road networks,More consultation with residents. Street pop up info/questions,Modern,Inclusive,Visionary,Protecting our environment and improving transport,,berwick,3806,edrington,39-48,Male
Friendlier,Less different communities ,equality,,,Connecting and supporting people,,cranbourne ,3977,balla balla,49-58,Female
"Lots to do for all ages, including motorsports complex and airport",Motorsport facility,Active,Vibrant,public-transport,Protecting our environment and improving transport,,botanic ridge,3977,balla balla,39-48,Male
A vibrant and positive place,Better safety for all,Vibrant,advanced,fun,Attracting local business and jobs,,berwick,3806,edrington,39-48,Female
Vibrant & sustainable,Traffic congestion,Engaged,Sustainable,Inclusive,Protecting our environment and improving transport,,berwick,3806,edrington,29-38,Male
Progressive and vibrant.,Road traffic better publi transport.,Listen,Action,Positive,Protecting our environment and improving transport,,aspendale,,visitor,29-38,Male
"A safe, connected community with access to high quality services & facilities",Traffic,Innovative,connected,safe,Connecting and supporting people,,beaconsfield,3807,edrington,29-38,Female
Continue to improve its resources,More flexability,Technology,Vision,People,Protecting our environment and improving transport,,beaconsfield,3807,edrington,39-48,Male
Beautiful and green,More trees,Sustainable,planned,happy,Protecting our environment and improving transport,,hallam,3803,river gum,29-38,Female
A vibrant community for families,More open communication with residents,Innovative,future,vibrant,Connecting and supporting people,,cranbourne east,3977,mayfield,29-38,Female
"Fantastic place to live, visit and enjoy",Improved road and public transport network,Green,vibrant,destination,Protecting our environment and improving transport,,hallam,3803,river gum,29-38,Male
Crime free,Take politics out of operation ,Prosperous,Growing,,Attracting local business and jobs,,narre warren,3805,springfield,19-28,Male
Safe and country ,Graffiti,Clean,green,safe,Protecting our environment and improving transport,,berwick,3806,edrington,19-28,Female
"Family orientated, more services provided online",Online transactions,Enjoyable,liveable,visioned,Creating a sense of place,,pakenham,,visitor,39-48,Female
"Friendly, tidy, well maintained and still multi-cultural",Traffic congestion and it will only get worse as more suburbs pop up,Open,inviting,,Protecting our environment and improving transport,,berwick,3806,edrington,29-38,Female
Adaptable for a ages as the community grows,Congestion,Accessible,,,,Being able to provide services  ,,3810,Visitor,49-58,Female
"Streamlined transport, no bottle necks, plenty of business and job opportunities",Get on top of all the riff raff,Safe,fun,crusiey,Creating a sense of place,,tuning north,,visitor,39-48,Male
A place with beautiful and useful outdoor spaces. A place with wide streets for parking as most people have two or more cars and all those babies born will one day bee driving teens. A place where you can live and work,The roads. It takes so long to get everywhere and traffic is like inner city suburbs,open,clean,family,Protecting our environment and improving transport,,narre warren,3805,springfield,29-38,Female
"A city with no landfills like the Suez Australia landfills in Hampton park, congested roads and opened roads like Evans Road Lynbrook, more Police especially in Hampton Park, a new modern shopping complex in Hampton park, more security cameras linked to shopping centres and car parks, less loose soil particulate pollution from commercial retail business like Diacos Nursery and better speed limit signage in various streets where there is confusion such as Cairns road Hampton park.  ",Close Hampton park Landfill it's just dreadful.,Clean,safe,navigable,Protecting our environment and improving transport,,lynbrook,3975,river gum,39-48,Male
"A landfill free city, great and safe roads and connectivity with safe intersections and great traffic signage. A safe and secure city with more police stations in the right places, great modern shopping centres with thorough security cameras and facilities. Great well facilitated and vegetated secure and safe park reserves. Great community facilities with a great Council city centre (Bunjil completed) with a central  arts and events centre. Greater community cohesion through the appropriate facilities.",Get rid of landfills,Clean,safe,navigable,Protecting our environment and improving transport,,lynbrook,3975,river gum,39-48,Male
Sustainable environmentally and ecconomically; more job opportunities for families to work close to home; less traffic congestion,"Traffic congestion
Better public transport ",Green,natural,connected,Protecting our environment and improving transport,,berwick,3806,edrington,49-58,Female
"One powered  by 100% renewable energy for a start! Fully integrated public transport system with links to transcontinental HSR. Better traffic management systems to better assist fully-autonomous vehicles (then at 50%+ private ownership and rising fast). Greater levels of environmental protection on all accounts. By then we would have eliminated urban sprawl and be concentrating on densifying existing developed areas of all types. Better and improved access to public green space and an established public footway & cycleway network spanning the Shire & beyond. We would have also completed the NBN many years ago and be investing in photonic-switch systems allowing even greater speed & higher bandwidth. Also be then we will have completely eliminated all landfill waste through a variety of programs and incentives. Storm water systems will have been up-graded to cope with the worst a post anthropogenic climate change environment can dish out, including but not limited to the removal of any pollutants found in the water prior to discharge into watercourses. There's more but I think that's a good start :-)",Massive & sustained investment in renewable power systems both in terms of production & distribution across the Shire and beyond.,Sustainable.,Liveable.,Accountable,Protecting our environment and improving transport,,,3980,balla balla,39-48,Male
"a inviting place for all, variety of activities for all age groups, accessible to people of various incomes, mobility and backgrounds ",more train stations/better bus services,multicultural,welcoming,connected,Creating a sense of place,,narre warren,3805,springfield,19-28,Female
"I would want it to be safe from crime, car accidents and vulgar behaviour","The crime rate,  high rate road accidents due to honing and congestion.",Safe,secure,livable,Creating a sense of place,,glen waverley ,,visitor,59-68,Female
vibrant and connected,remove the feral cats,friendly,caring,community,Connecting and supporting people,,endeavour hills,3802,four oaks,49-58,Female
Violence free,Give hope to the next generation and have men empowered in a postive way,Possible,hopeful,positive,Connecting and supporting people,,narre warren south,3804,springfield,39-48,Female
A place that is family orientated with a positive focus on the future.,Pull down some of the houses in Cranbourne that are falling apart.,Family,Future,Positive,Connecting and supporting people,,narre warren south,3804,springfield,39-48,Female
Safe,More employment,Safe,roads,schools,Attracting local business and jobs,,narre warren south,3804,springfield,49-58,Female
Safe,Traffic lights on Thompson road,Developing,Community,Youth,Connecting and supporting people,,cheltenham ,,visitor,19-28,Female
Forward thinking and accepting of all races,More facilities for teenagers to attend,Innovative,clean,,Connecting and supporting people,,narre warren south,3804,springfield,39-48,Female
